id,P2,P3,P4,P5,P6,P7,P8,P9,P10,F1,F2,F3,F4,F5,F6,F7,S1,A1,A2,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,TOTAL
0,Urban,Female,22,Bengali,Graduate,"> 60,000",With friends. colleagues or students,Graduate,Postgraduate,passive,passive,no record,Putting money in a savings/deposits account,no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,less than 110,not sure,7.0
1,Urban,Male,22,Bengali,Graduate,"< 20,000",With friends. colleagues or students,Graduate,Graduate,active,passive,spreadsheet or same,Giving money to family to save on your behalf,no income,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Jewellery, House, Art works, Child support",not sure,not sure,not sure,save it,cheaper model,buy beverage,Not sure,Not sure,not sure,not sure,3.0
2,Urban,Male,21,English,Graduate,"> 60,000","With children under the age of 18, With other adult relatives",12th pass,12th pass,passive,passive,notes,"Saving cash at home, Putting money in a savings/deposits account, Giving money to family to save on your behalf, Buying bonds or time deposits",10% - 50%,keep in bank account,>= 6 months,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the second set.,"Car, House, Art works",not sure,not sure,not sure,save it,expensive model,keep it,Multiple businesses/investment,Not sure,not sure,not sure,6.0
3,Urban,Female,23,English,Graduate,"> 60,000",With other adult relatives,Postgraduate,Graduate,active,passive,spreadsheet or same,Putting money in a savings/deposits account,no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House",> 2 lakh,100 plus 3pct,"25,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,not sure,less than today,7.0
4,Rural,Male,21,Bengali,Graduate,"20,000 - 40,000",Alone,10th pass or less,Graduate,passive,active,spreadsheet or same,Putting money in a savings/deposits account,10% - 50%,keep in bank account,>= 1 month but < 3 months,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Art works",> 2 lakh,100 plus 3pct,not sure,save it,cheaper model,keep it,Multiple businesses/investment,No interest,more than 110,same as today,9.0
5,Rural,Male,20,English,Graduate,"> 60,000",With other adult relatives,Graduate,Postgraduate,passive,passive,no record,Investing in stocks and shares,no income,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, Art works",lose money,100 plus 3pct,"15,000",spend it,expensive model,keep it,Multiple businesses/investment,No interest,more than 110,less than today,7.0
6,Rural,Male,21,English,Graduate,"20,000 - 40,000",With other adult relatives,Postgraduate,Postgraduate,passive,passive,notes,Putting money in a savings/deposits account,no income,keep in bank account,,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, Car, House",> 2 lakh,100 plus 3pct,"30,000",save it,cheaper model,buy beverage,Multiple businesses/investment,No interest,exactly 110,less than today,8.0
7,Urban,Male,22,English,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Postgraduate,passive,passive,no record,Putting money in a savings/deposits account,no income,unable to save,>= 1 month but < 3 months,Check the balance and transactions of my bank account online,Debit card,You buy the first set.,"Car, House",2 lakh,100 plus 3pct,"30,000",spend it,cheaper model,buy beverage,Multiple businesses/investment,No interest,more than 110,less than today,6.0
8,Urban,Male,22,Bengali,Graduate,"> 60,000",With friends. colleagues or students,Postgraduate,Graduate,passive,active,spreadsheet or same,Investing in stocks and shares,< 5%,keep in bank account,< 1 week,"Check the balance and transactions of my bank account online, Bought goods and services online, Managed financial products and services (investments,loan,credits) online",Debit card,You buy the first set.,"Jewellery, Car, House, Loan",lose money,100 plus 3pct,"25,000",spend it,cheaper model,buy beverage,Multiple businesses/investment,No interest,not sure,not sure,5.0
9,Urban,Female,21,English,12th pass,"> 60,000",With other adult relatives,Graduate,Graduate,passive,passive,no record,Buying bonds or time deposits,10% - 50%,invest in assets,dont know,"Check the balance and transactions of my bank account online, Bought goods and services online",Debit card,You buy the first set.,"Jewellery, House, Art works",2 lakh,not sure,not sure,save it,cheaper model,keep it,Not sure,Not sure,not sure,not sure,3.0
